"Date","Chrome","IE","Firefox","Safari","Opera","Android","UC Browser","Samsung Internet","Edge Legacy","Nokia","Edge","BlackBerry","IEMobile","Yandex Browser","NetFront","360 Safe Browser","QQ Browser","Maxthon","Sogou Explorer","Sony PS3","Coc Coc","Chromium","Unknown","Silk","Mozilla","Puffin","KaiOS","Dolfin","Sony PS4","Samsung","Whale Browser","AOL","SeaMonkey","Openwave","Phantom","SonyEricsson","Instabridge","Pale Moon","Obigo","Jasmine","Other"
2009-01,1.37,64.97,26.85,2.79,3.07,0.01,0,0,0,0.12,0,0.03,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0,0.15,0,0,0,0,0,0,0.27,0.04,0.02,0,0.02,0,0,0,0,0.2
2009-02,1.5,63.98,27.66,2.83,3.09,0.01,0,0,0,0.13,0,0.04,0.01,0,0.01,0,0,0,0,0.07,0,0,0,0,0.15,0,0,0,0,0,0,0.26,0.03,0.02,0,0.02,0,0,0,0,0.19
2009-03,1.71,62.02,29.17,3.02,3.09,0.02,0,0,0,0.14,0,0.05,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0,0.16,0,0,0,0,0,0,0.25,0.03,0.02,0,0.03,0,0,0,0,0.19
2009-04,2.05,61.34,29.41,3.09,3.12,0.02,0,0,0,0.14,0,0.06,0.01,0,0.01,0,0,0,0,0.1,0,0,0,0,0.17,0,0,0,0,0,0,0.23,0.03,0.02,0,0.03,0,0,0,0,0.17
2009-05,2.4,61.55,28.5,2.95,3.41,0.02,0,0,0,0.15,0,0.06,0.01,0,0.01,0,0,0,0,0.09,0,0,0,0,0.39,0,0,0,0,0,0,0.21,0.03,0.02,0,0.03,0,0,0,0,0.18
2009-06,2.79,58.93,30.05,3.24,3.57,0,0,0,0,0.17,0,0.07,0.01,0,0.02,0,0,0,0,0.11,0,0,0,0,0.54,0,0,0,0,0,0,0.2,0.03,0.02,0,0.03,0,0,0,0,0.2
2009-07,2.98,59.48,30.18,3.35,2.88,0.02,0,0,0,0.2,0,0.09,0.01,0,0.02,0,0,0,0,0.13,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0.03,0.02,0,0.02,0,0,0,0,0.19
2009-08,3.34,58.04,30.93,3.59,2.92,0.03,0,0,0,0.21,0,0.09,0.01,0,0.04,0,0,0,0,0.15,0,0,0,0,0.24,0,0,0,0,0.01,0,0.19,0.03,0.02,0,0,0,0,0,0,0.16
2009-09,3.65,57.72,30.99,3.59,2.89,0.03,0,0,0,0.23,0,0.1,0.01,0,0.04,0,0,0,0,0.12,0,0,0,0,0.26,0,0,0,0,0.01,0,0.18,0.03,0.02,0,0,0,0,0,0,0.14
2009-10,4.12,57.3,31.45,3.77,2.17,0.03,0,0,0,0.24,0,0.1,0.01,0,0.04,0,0,0,0,0.13,0,0,0,0,0.28,0,0,0,0,0.01,0,0.17,0.03,0.02,0,0,0,0,0,0,0.13
2009-11,4.61,55.89,31.82,4,2.32,0.04,0,0,0,0.23,0,0.11,0.01,0,0.04,0,0,0,0,0.14,0,0,0,0,0.43,0,0,0,0,0.01,0,0.16,0.03,0.02,0,0,0,0,0,0,0.13
2009-12,5.38,55.01,31.56,3.85,2.37,0.05,0,0,0,0.24,0,0.12,0.01,0,0.04,0,0,0.28,0,0.15,0,0,0,0,0.59,0,0,0,0,0.01,0,0.14,0.03,0.01,0,0,0,0,0,0,0.15
2010-01,5.94,54.39,31.15,4.22,2.37,0.07,0,0,0,0.29,0,0.15,0.01,0,0.05,0,0,0.37,0,0.15,0,0,0,0,0.47,0,0,0,0,0.01,0,0.13,0.03,0.02,0,0,0,0,0,0,0.17
2010-02,6.6,53.56,31.28,4.59,2.37,0.09,0,0,0,0.29,0,0.18,0.01,0,0.05,0,0,0.29,0,0.13,0,0,0,0,0.16,0,0,0,0,0.02,0,0.14,0.03,0.02,0,0,0,0,0,0,0.18
2010-03,7.15,53.37,30.65,4.67,2.44,0.11,0.02,0,0,0.32,0,0.24,0.01,0,0.06,0,0,0.28,0,0.13,0,0,0,0,0.16,0,0,0,0,0.02,0,0.13,0.03,0.02,0,0.01,0,0,0,0,0.17
2010-04,7.89,52.1,31.05,4.77,2.34,0.13,0.02,0,0,0.34,0,0.3,0.01,0,0.07,0,0,0.25,0,0.14,0,0,0.05,0,0.16,0,0,0,0,0.02,0,0.12,0.03,0.02,0,0.01,0,0,0,0,0.18
2010-05,8.41,51.54,30.91,4.72,2.53,0.15,0.03,0,0,0.34,0,0.32,0.01,0,0.07,0,0,0.23,0,0.14,0,0,0.08,0,0.15,0,0,0,0,0.02,0,0.11,0.03,0.02,0,0.01,0,0,0,0,0.19
2010-06,9,51.5,30.35,4.65,2.53,0.18,0.03,0,0,0.41,0,0.38,0.01,0,0.09,0,0,0.22,0,0.14,0,0,0,0,0.14,0,0,0,0,0.02,0,0.11,0.03,0.02,0,0.01,0,0,0,0,0.2
2010-07,9.6,51.17,29.81,4.71,2.53,0.24,0.03,0,0,0.47,0,0.46,0.01,0,0.1,0,0,0.2,0,0.15,0,0,0,0,0.12,0,0,0,0,0.03,0,0.1,0.03,0.02,0,0.01,0,0,0,0,0.21
2010-08,10.41,49.69,30.09,4.92,2.57,0.29,0.03,0,0,0.52,0,0.54,0.01,0,0.11,0,0,0.18,0,0.15,0,0,0,0,0.11,0,0,0,0,0.03,0,0.09,0.03,0.02,0,0.01,0,0,0,0,0.19
2010-09,11.14,48.13,30.39,5.06,2.83,0.33,0.03,0,0,0.59,0,0.62,0.01,0,0.12,0,0,0.17,0,0.13,0,0,0,0,0.1,0,0,0,0,0.03,0,0.08,0.03,0.02,0,0.01,0,0,0,0,0.18
2010-10,11.92,47.33,30.05,5.23,2.86,0.39,0.04,0,0,0.63,0,0.69,0.01,0,0.13,0,0,0.16,0,0.13,0,0,0,0,0.09,0,0,0,0,0.03,0,0.07,0.03,0.02,0,0.01,0,0,0,0,0.18
2010-11,12.81,46.22,29.92,5.39,2.81,0.45,0.04,0,0,0.67,0,0.77,0.01,0,0.16,0,0,0.18,0,0.13,0,0,0,0,0.09,0,0,0,0,0.05,0,0.06,0.03,0.03,0,0.02,0,0,0,0,0.19
2010-12,14.24,45.02,29.5,5.56,2.81,0.54,0.03,0,0,0.64,0,0.73,0.01,0,0.16,0,0,0.16,0,0.14,0,0,0,0,0.08,0,0,0,0,0.07,0,0.05,0.03,0.03,0,0.02,0,0,0,0,0.18
2011-01,15.01,44.03,29.36,5.94,2.81,0.62,0.03,0,0,0.67,0,0.64,0.01,0,0.16,0,0,0.14,0,0.14,0,0,0,0,0.08,0,0,0,0,0.07,0,0.06,0.02,0.03,0,0.02,0,0,0,0,0.17
2011-02,15.81,43.42,29.02,5.94,2.86,0.67,0.04,0,0,0.7,0,0.64,0.02,0,0.17,0,0,0.16,0,0.13,0,0,0,0,0.07,0,0,0,0,0.08,0,0.05,0.03,0.02,0,0.02,0,0,0,0,0.17
2011-03,16.55,42.99,28.57,5.93,2.87,0.73,0.03,0,0,0.75,0,0.65,0.02,0,0.18,0,0,0.16,0,0.13,0,0,0,0,0.07,0,0,0,0,0.09,0,0.05,0.03,0.03,0,0.02,0,0,0,0,0.16
2011-04,17.33,42.2,28.13,5.99,2.95,0.83,0.04,0,0,0.85,0,0.7,0.02,0,0.18,0,0,0.16,0,0.13,0,0.01,0.03,0,0.05,0,0,0.01,0,0.07,0,0.04,0.02,0.03,0,0.02,0,0,0,0.01,0.18
