"Date","Chrome","IE","Firefox","Safari","Opera","Edge Legacy","Edge","Yandex Browser","360 Safe Browser","Maxthon","Sogou Explorer","Chromium","UC Browser","QQ Browser","Coc Coc","Mozilla","Sony PS3","Android","AOL","SeaMonkey","Pale Moon","RockMelt","Phantom","Iron","TheWorld","Other"
2009-01,1.38,65.41,27.03,2.57,2.92,0,0,0,0,0,0,0,0,0,0,0.15,0.08,0,0.27,0.04,0,0,0,0,0,0.16
2009-02,1.52,64.43,27.85,2.59,2.95,0,0,0,0,0,0,0,0,0,0,0.15,0.07,0,0.26,0.04,0,0,0,0,0,0.15
2009-03,1.73,62.52,29.4,2.73,2.94,0,0,0,0,0,0,0,0,0,0,0.16,0.08,0,0.25,0.03,0,0,0,0,0,0.15
2009-04,2.07,61.88,29.67,2.75,2.96,0,0,0,0,0,0,0,0,0,0,0.17,0.1,0,0.24,0.03,0,0,0,0,0,0.14
2009-05,2.42,62.09,28.75,2.65,3.23,0,0,0,0,0,0,0,0,0,0,0.4,0.09,0,0.21,0.03,0,0,0,0,0,0.14
2009-06,2.82,59.49,30.33,2.93,3.36,0,0,0,0,0,0,0,0,0,0,0.55,0.11,0,0.21,0.03,0,0,0,0,0,0.17
2009-07,3.01,60.11,30.5,3.02,2.64,0,0,0,0,0,0,0,0,0,0,0.2,0.14,0,0.2,0.03,0,0,0,0,0,0.15
2009-08,3.38,58.69,31.28,3.25,2.67,0,0,0,0,0,0,0,0,0,0,0.24,0.15,0,0.19,0.03,0,0,0,0,0,0.11
2009-09,3.69,58.37,31.34,3.28,2.62,0,0,0,0,0,0,0,0,0,0,0.26,0.12,0,0.18,0.03,0,0,0,0,0,0.1
2009-10,4.17,57.96,31.82,3.47,1.88,0,0,0,0,0,0,0,0,0,0,0.28,0.13,0,0.17,0.03,0,0,0,0,0,0.09
2009-11,4.66,56.57,32.21,3.67,2.02,0,0,0,0,0,0,0,0,0,0,0.44,0.14,0,0.16,0.03,0,0,0,0,0,0.1
2009-12,5.45,55.72,31.97,3.48,2.06,0,0,0,0,0.28,0,0,0,0,0,0.6,0.15,0,0.14,0.03,0,0,0,0,0,0.11
2010-01,6.04,55.25,31.64,3.76,2,0,0,0,0,0.38,0,0,0,0,0,0.48,0.15,0,0.14,0.03,0,0,0,0,0,0.13
2010-02,6.72,54.5,31.82,4.08,1.97,0,0,0,0,0.3,0,0,0,0,0,0.16,0.13,0,0.14,0.03,0,0,0,0,0,0.14
2010-03,7.29,54.44,31.27,4.16,1.97,0,0,0,0,0.28,0,0,0,0,0,0.16,0.13,0,0.13,0.03,0,0,0,0,0,0.13
2010-04,8.06,53.26,31.74,4.23,1.82,0,0,0,0,0.26,0,0,0,0,0,0.16,0.14,0,0.12,0.03,0,0,0,0,0,0.17
2010-05,8.61,52.77,31.64,4.14,1.96,0,0,0,0,0.24,0,0,0,0,0,0.15,0.14,0,0.11,0.03,0,0,0,0,0,0.2
2010-06,9.24,52.86,31.15,4.07,1.91,0,0,0,0,0.22,0,0,0,0,0,0.14,0.15,0,0.11,0.03,0,0,0,0,0,0.12
2010-07,9.88,52.68,30.69,4.09,1.91,0,0,0,0,0.2,0,0,0,0,0,0.12,0.15,0,0.11,0.03,0,0,0,0,0,0.13
2010-08,10.76,51.34,31.09,4.23,1.88,0,0,0,0,0.19,0,0,0,0,0,0.11,0.15,0,0.1,0.03,0,0,0,0,0,0.12
2010-09,11.54,49.87,31.5,4.42,2.03,0,0,0,0,0.18,0,0,0,0,0,0.1,0.14,0,0.08,0.03,0,0,0,0,0,0.11
2010-10,12.39,49.21,31.24,4.56,2,0,0,0,0,0.17,0,0,0,0,0,0.1,0.14,0,0.07,0.03,0,0,0,0,0,0.1
2010-11,13.35,48.16,31.17,4.7,2.01,0,0,0,0,0.18,0,0,0,0,0,0.09,0.13,0,0.06,0.03,0,0,0,0,0,0.11
2010-12,14.85,46.94,30.76,4.79,2.07,0,0,0,0,0.17,0,0,0,0,0,0.09,0.15,0,0.06,0.03,0,0,0,0,0,0.1
2011-01,15.68,46,30.68,5.09,2,0,0,0,0,0.15,0,0,0,0,0,0.08,0.15,0.01,0.06,0.03,0,0,0,0,0,0.09
2011-02,16.54,45.44,30.37,5.08,2,0,0,0,0,0.16,0,0,0,0,0,0.08,0.14,0.01,0.05,0.03,0,0,0,0,0,0.09
2011-03,17.37,45.11,29.98,5.02,1.97,0,0,0,0,0.17,0,0,0,0,0,0.07,0.13,0.02,0.05,0.03,0,0,0,0,0,0.08
2011-04,18.29,44.52,29.67,5.04,1.91,0,0,0,0,0.17,0,0.01,0,0,0,0.06,0.14,0.02,0.04,0.02,0,0.01,0,0,0,0.08
2011-05,19.36,43.87,29.29,5.01,1.84,0,0,0,0,0.15,0,0.05,0,0,0,0.05,0.15,0.03,0.02,0.02,0,0.04,0,0.02,0,0.09
2011-06,20.65,43.58,28.34,5.07,1.74,0,0,0,0,0.15,0,0.05,0,0,0,0.04,0.14,0.04,0.02,0.02,0,0.03,0,0.02,0,0.09
2011-07,22.14,42.45,27.95,5.17,1.66,0,0,0,0,0.16,0,0.05,0,0,0,0.04,0.15,0.06,0.02,0.02,0,0.03,0,0.02,0,0.09
2011-08,23.16,41.89,27.49,5.19,1.67,0,0,0,0,0.13,0,0.05,0,0,0,0.03,0.15,0.07,0.01,0.02,0,0.03,0,0.02,0,0.08
2011-09,23.61,41.66,26.79,5.6,1.72,0,0,0,0,0.14,0,0.05,0,0,0,0.03,0.15,0.07,0.01,0.02,0,0.03,0,0.02,0,0.08
2011-10,25,40.18,26.39,5.93,1.81,0,0,0,0,0.14,0,0.06,0,0,0,0.03,0.15,0.13,0.01,0.03,0,0.03,0,0.02,0,0.09
2011-11,25.69,40.63,25.23,5.92,1.82,0,0,0,0,0.13,0,0.06,0,0,0,0.03,0.14,0.15,0.01,0.03,0,0.03,0,0.02,0.02,0.1
2011-12,27.27,38.65,25.27,6.08,1.98,0,0,0,0,0.1,0,0.07,0,0,0,0.02,0.15,0.19,0.01,0.03,0,0.03,0,0.02,0.02,0.11
2012-01,28.4,37.45,24.78,6.62,1.95,0,0,0,0,0.09,0,0.07,0,0,0,0.02,0.14,0.24,0.01,0.03,0,0.03,0,0.02,0.02,0.13
2012-02,29.84,35.75,24.88,6.77,2.02,0,0,0,0,0.09,0,0.07,0,0,0,0.02,0.04,0.25,0.01,0.03,0,0.03,0,0.02,0.02,0.14
2012-03,30.87,34.81,24.98,6.72,1.78,0,0,0,0,0.1,0,0.07,0,0,0,0.02,0.06,0.27,0.01,0.04,0,0.04,0,0.03,0.02,0.18
2012-04,31.23,34.07,24.87,7.13,1.72,0,0,0,0,0.11,0,0.07,0,0.01,0,0.02,0.12,0.29,0.01,0.04,0,0.05,0,0.03,0.02,0.22
